0.0,"(71, 78, 92)"
1.0,"(101, 119, 130)"
0.0,"(190, 192, 185)"
1.0,"(115, 101, 74)"
0.0,"(198, 207, 197)"
1.0,"(31, 40, 49)"
0.0,"(58, 78, 113)"
1.0,"(64, 84, 100)"
0.0,"(202, 205, 208)"
1.0,"(37, 77, 98)"
0.0,"(89, 91, 75)"
1.0,"(69, 74, 47)"
0.0,"(167, 170, 157)"
1.0,"(66, 71, 62)"
0.0,"(105, 108, 105)"
1.0,"(7, 16, 13)"
0.0,"(60, 195, 155)"
1.0,"(72, 81, 79)"
0.0,"(75, 101, 142)"
1.0,"(102, 102, 89)"
0.0,"(29, 45, 79)"
1.0,"(82, 79, 90)"
0.0,"(27, 42, 59)"
1.0,"(49, 57, 63)"
0.0,"(27, 31, 28)"
1.0,"(23, 29, 28)"
0.0,"(93, 96, 95)"
1.0,"(61, 63, 57)"
0.0,"(150, 155, 168)"
1.0,"(61, 80, 96)"
0.0,"(182, 182, 164)"
1.0,"(69, 69, 65)"
0.0,"(131, 138, 136)"
1.0,"(73, 76, 75)"
0.0,"(82, 72, 62)"
1.0,"(50, 45, 31)"
0.0,"(106, 67, 56)"
1.0,"(140, 122, 91)"
0.0,"(213, 210, 207)"
1.0,"(19, 40, 50)"
0.0,"(29, 44, 54)"
1.0,"(61, 59, 57)"
0.0,"(40, 69, 62)"
1.0,"(140, 139, 126)"
0.0,"(221, 220, 215)"
1.0,"(86, 117, 137)"
0.0,"(39, 40, 31)"
1.0,"(47, 52, 49)"
0.0,"(148, 146, 135)"
1.0,"(51, 56, 56)"
0.0,"(49, 60, 75)"
1.0,"(52, 67, 83)"
0.0,"(78, 86, 85)"
1.0,"(62, 71, 70)"
0.0,"(22, 30, 24)"
1.0,"(27, 34, 28)"
0.0,"(59, 63, 65)"
1.0,"(54, 58, 55)"
0.0,"(210, 195, 156)"
1.0,"(145, 112, 85)"
0.0,"(216, 222, 231)"
1.0,"(38, 44, 42)"
0.0,"(224, 227, 216)"
0.0,"(15, 19, 14)"
1.0,"(145, 141, 131)"
0.0,"(174, 172, 156)"
1.0,"(87, 94, 92)"
0.0,"(41, 46, 45)"
1.0,"(58, 64, 60)"
0.0,"(141, 143, 145)"
1.0,"(52, 62, 61)"
0.0,"(30, 38, 38)"
1.0,"(67, 74, 72)"
0.0,"(187, 195, 186)"
1.0,"(77, 88, 99)"
0.0,"(63, 66, 62)"
1.0,"(81, 89, 83)"
0.0,"(60, 64, 61)"
1.0,"(88, 91, 79)"
0.0,"(121, 135, 111)"
1.0,"(23, 29, 26)"
